Date,Strain,BagNumber,StartingDensity,Dead,Site,FlipFreq,Survivorship_StartingDensityBase,Survivorship_StartingDensityBase_Impute100,time_group,line,ActualInitialAliveCount,Total,Alive,PrevAlive,Alive_PreventFranken,Survivorship_ActualStartingDensityBase_PreventFranken,,,,,,,,,,,,,
8/23/24,SJ,SJ 10,100,3,DUML,EveryOther,1.02,1,A2,,106,105,102,100,100,0.943396226,,,,,,,,,,,,,
9/20/24,SJ,SJ 10,100,2,DUML,EveryOther,1.01,1,S1,,106,103,101,102,100,0.943396226,,,,,,,,,,,,,
10/5/24,SJ,SJ 10,100,0,DUML,EveryOther,0.99,0.99,O1,,106,99,99,101,99,0.933962264,,,,,,,,,,,,,
5/31/24,SJ,SJ 11,150,2,DUML,EveryOther,1.026666667,1,M1,,154,156,154,154,154,1,,,,,,,,,,,,,
6/14/24,SJ,SJ 11,150,0,DUML,EveryOther,0.926666667,0.926666667,J1,,154,139,139,154,139,0.902597403,,,,,,,,,,,,,
6/28/24,SJ,SJ 11,150,0,DUML,EveryOther,0.98,0.98,J2,,154,147,147,139,139,0.902597403,,,,,,,,,,,,,
7/11/24,SJ,SJ 11,150,2,DUML,EveryOther,0.993333333,0.993333333,L1,,154,151,149,147,139,0.902597403,,,,,,,,,,,,,
7/26/24,SJ,SJ 11,150,2,DUML,EveryOther,1.006666667,1,L2,,154,153,151,149,139,0.902597403,,,,,,,,,,,,,
8/5/24,SJ,SJ 11,150,3,DUML,EveryOther,0.953333333,0.953333333,A1,,154,146,143,151,139,0.902597403,,,,,,,,,,,,,
8/23/24,SJ,SJ 11,150,4,DUML,EveryOther,0.933333333,0.933333333,A2,,154,144,140,143,139,0.902597403,,,,,,,,,,,,,
9/20/24,SJ,SJ 11,150,1,DUML,EveryOther,0.933333333,0.933333333,S1,,154,141,140,140,139,0.902597403,,,,,,,,,,,,,
10/5/24,SJ,SJ 11,150,2,DUML,EveryOther,0.893333333,0.893333333,O1,,154,136,134,140,134,0.87012987,,,,,,,,,,,,,
5/31/24,SJ,SJ 12,200,1,DUML,EveryOther,0.935,0.935,M1,,187,188,187,187,187,1,,,,,,,,,,,,,
6/14/24,SJ,SJ 12,200,0,DUML,EveryOther,0.835,0.835,J1,,187,167,167,187,167,0.893048128,,,,,,,,,,,,,
6/28/24,SJ,SJ 12,200,0,DUML,EveryOther,0.93,0.93,J2,,187,186,186,167,167,0.893048128,,,,,,,,,,,,,
7/11/24,SJ,SJ 12,200,2,DUML,EveryOther,0.915,0.915,L1,,187,185,183,186,167,0.893048128,,,,,,,,,,,,,
7/26/24,SJ,SJ 12,200,3,DUML,EveryOther,0.845,0.845,L2,,187,172,169,183,167,0.893048128,,,,,,,,,,,,,
8/5/24,SJ,SJ 12,200,1,DUML,EveryOther,0.875,0.875,A1,,187,176,175,169,167,0.893048128,,,,,,,,,,,,,
8/23/24,SJ,SJ 12,200,0,DUML,EveryOther,0.875,0.875,A2,,187,175,175,175,167,0.893048128,,,,,,,,,,,,,
9/20/24,SJ,SJ 12,200,4,DUML,EveryOther,0.895,0.895,S1,,187,183,179,175,167,0.893048128,,,,,,,,,,,,,
10/5/24,SJ,SJ 12,200,0,DUML,EveryOther,0.935,0.935,O1,,187,187,187,179,167,0.893048128,,,,,,,,,,,,,
5/31/24,SJ,SJ 13,150,2,DUML,TwiceAWeek,0.966666667,0.966666667,M1,,145,147,145,145,145,1,,,,,,,,,,,,,
6/14/24,SJ,SJ 13,150,1,DUML,TwiceAWeek,0.813333333,0.813333333,J1,,145,123,122,145,122,0.84137931,,,,,,,,,,,,,
6/28/24,SJ,SJ 13,150,1,DUML,TwiceAWeek,0.94,0.94,J2,,145,142,141,122,122,0.84137931,,,,,,,,,,,,,
7/11/24,SJ,SJ 13,150,2,DUML,TwiceAWeek,0.94,0.94,L1,,145,143,141,141,122,0.84137931,,,,,,,,,,,,,
7/26/24,SJ,SJ 13,150,4,DUML,TwiceAWeek,0.92,0.92,L2,,145,142,138,141,122,0.84137931,,,,,,,,,,,,,
8/5/24,SJ,SJ 13,150,0,DUML,TwiceAWeek,0.893333333,0.893333333,A1,,145,134,134,138,122,0.84137931,,,,,,,,,,,,,
8/23/24,SJ,SJ 13,150,4,DUML,TwiceAWeek,0.88,0.88,A2,,145,136,132,134,122,0.84137931,,,,,,,,,,,,,
9/20/24,SJ,SJ 13,150,2,DUML,TwiceAWeek,0.933333333,0.933333333,S1,,145,142,140,132,122,0.84137931,,,,,,,,,,,,,
10/5/24,SJ,SJ 13,150,1,DUML,TwiceAWeek,0.826666667,0.826666667,O1,,145,125,124,140,122,0.84137931,,,,,,,,,,,,,
5/31/24,SJ,SJ 2,100,0,DUML,TwiceAWeek,0.96,0.96,M1,,96,96,96,96,96,1,,,,,,,,,,,,,
6/14/24,SJ,SJ 2,100,0,DUML,TwiceAWeek,0.99,0.99,J1,,96,99,99,96,96,1,,,,,,,,,,,,,
6/28/24,SJ,SJ 2,100,0,DUML,TwiceAWeek,0.97,0.97,J2,,96,97,97,99,96,1,,,,,,,,,,,,,
7/11/24,SJ,SJ 2,100,0,DUML,TwiceAWeek,0.96,0.96,L1,,96,96,96,97,96,1,,,,,,,,,,,,,
7/26/24,SJ,SJ 2,100,1,DUML,TwiceAWeek,0.98,0.98,L2,,96,99,98,96,96,1,,,,,,,,,,,,,
8/5/24,SJ,SJ 2,100,1,DUML,TwiceAWeek,0.95,0.95,A1,,96,96,95,98,95,0.989583333,,,,,,,,,,,,,
8/23/24,SJ,SJ 2,100,2,DUML,TwiceAWeek,0.92,0.92,A2,,96,94,92,95,92,0.958333333,,,,,,,,,,,,,
9/20/24,SJ,SJ 2,100,1,DUML,TwiceAWeek,0.9,0.9,S1,,96,91,90,92,90,0.9375,,,,,,,,,,,,,
10/5/24,SJ,SJ 2,100,0,DUML,TwiceAWeek,0.92,0.92,O1,,96,92,92,90,90,0.9375,,,,,,,,,,,,,
